Pokemon1,Pokemon2,Winrate_Together,Avg_Base_Winrate,Synergy_Delta,Sample_Size
Wartortle,Geodude,58.17,52.23,5.94,35
Wartortle,Phanpy,59.08,53.16,5.92,42
Quilava,Elekid,59.72,53.8,5.92,37
Loudred,Pikachu,56.72,50.81,5.91,35
Loudred,Marshtomp,57.02,51.11,5.91,42
Spearow,Natu,62.17,56.28,5.89,49
Swampert,Slakoth,58.97,53.1,5.87,44
Meganium,Tentacool,59.9,54.06,5.85,38
Porygon2,Trapinch,61.91,56.05,5.85,43
Croconaw,Trapinch,59.06,53.27,5.8,46
Meganium,Chansey,62.56,56.77,5.79,39
Quilava,Magnemite,61.88,56.11,5.77,32
Plusle,Hoothoot,61.63,55.88,5.76,40
Slugma,Elekid,55.85,50.11,5.74,38
Grovyle,Elekid,59.19,53.47,5.72,42
Croconaw,Elekid,58.01,52.3,5.71,34
Mantine,Psyduck,60.06,54.35,5.71,32
Plusle,Phanpy,59.3,53.59,5.7,47
Croconaw,Marill,59.38,53.68,5.7,49
Mantine,Magby,60.19,54.5,5.69,29
Croconaw,Psyduck,57.2,51.52,5.69,29
Quilava,Pikachu,58.32,52.64,5.67,39
Mantine,Diglett,59.28,53.62,5.66,42
Plusle,Pidgey,57.46,51.83,5.63,40
Trapinch,Numel,51.72,46.09,5.63,46
Wartortle,Whismur,58.89,53.27,5.61,37
Minun,Vigoroth,62.34,56.73,5.61,38
Grovyle,Voltorb,59.71,54.09,5.61,34
Charmeleon,Mareep,60.02,54.43,5.59,48
Porygon2,Elekid,60.67,55.09,5.58,38
Minun,Pidgey,57.53,51.96,5.57,33
Spearow,Chansey,58.17,52.6,5.57,34
Meganium,Rattata,58.88,53.31,5.57,50
Blaziken,Cacnea,59.8,54.26,5.54,46
Ponyta,Hoothoot,63.06,57.53,5.54,48
Minun,Meowth,57.9,52.38,5.53,45
Quilava,Bayleef,59.14,53.61,5.53,37
Quilava,Phanpy,59.18,53.66,5.52,43
Golbat,Hoothoot,63.78,58.26,5.52,39
Porygon2,Marshtomp,59.74,54.23,5.5,48
Blaziken,Charmander,58.62,53.12,5.5,46
Swampert,Vigoroth,64.2,58.7,5.5,39
Ivysaur,Squirtle,58.11,52.62,5.49,31
Meganium,Trapinch,63.41,57.92,5.49,32
Porygon2,Exeggcute,60.52,55.05,5.47,27
Natu,Larvitar,53.66,48.19,5.47,44
Charmeleon,Chikorita,58.48,53.01,5.47,42
Minun,Porygon,56.83,51.37,5.46,35
Spearow,Combusken,60.46,55.0,5.46,48
Mantine,Onix,60.2,54.77,5.43,31
Ponyta,Chansey,60.63,55.2,5.42,55
Ponyta,Onix,60.44,55.03,5.42,35
Blaziken,Chikorita,59.04,53.62,5.41,46
Grovyle,Psyduck,58.09,52.69,5.4,44
Loudred,Onix,57.0,51.6,5.4,40
Blaziken,Squirtle,58.79,53.39,5.4,52
Blaziken,Treecko,58.99,53.61,5.39,46
Magnemite,Chansey,54.44,49.05,5.38,49
Mantine,Trapinch,61.47,56.1,5.37,43
Cubone,Voltorb,55.73,50.37,5.36,39
Ponyta,Mareep,58.94,53.58,5.36,36
Wartortle,Hoothoot,60.78,55.44,5.34,42
Swampert,Cubone,64.0,58.66,5.34,41
Ponyta,Slowpoke,59.27,53.95,5.33,44
Mantine,Exeggcute,60.42,55.09,5.33,25
Meganium,Cyndaquil,58.29,52.98,5.31,51
Swampert,Torchic,58.42,53.11,5.31,32
Blaziken,Diglett,60.63,55.34,5.29,42
Grovyle,Pikachu,57.6,52.31,5.29,37
Quilava,Combusken,61.31,56.02,5.29,36
Hoothoot,Chansey,54.16,48.88,5.28,39
Mantine,Hoothoot,62.54,57.27,5.27,39
Porygon2,Slakoth,57.62,52.34,5.27,36
Cubone,Raticate,56.3,51.05,5.26,50
Mantine,Totodile,56.21,50.95,5.26,45
Ivysaur,Psyduck,60.56,55.3,5.25,31
Smeargle,Sandshrew,52.6,47.36,5.24,28
Natu,Phanpy,55.52,50.28,5.24,52
Ivysaur,Cyndaquil,57.34,52.11,5.23,32
Wartortle,Oddish,56.34,51.12,5.22,36
Golbat,Treecko,58.08,52.88,5.2,34
Spearow,Phanpy,57.84,52.64,5.2,53
Minun,Treecko,55.82,50.62,5.19,56
Porygon2,Mareep,58.47,53.28,5.19,47
Ivysaur,Porygon,58.76,53.59,5.17,34
Ivysaur,Diglett,59.74,54.58,5.16,38
Meganium,Vulpix,60.21,55.06,5.15,37
Wartortle,Wingull,56.4,51.27,5.13,24
Spearow,Raticate,59.21,54.09,5.12,48
Mantine,Squirtle,56.78,51.67,5.11,41
Blaziken,Porygon,59.46,54.35,5.11,41
Ivysaur,Trapinch,62.16,57.05,5.11,35
Loudred,Trapinch,58.04,52.93,5.11,36
Spearow,Trapinch,58.86,53.75,5.11,40
Golbat,Porygon,58.73,53.62,5.11,39
Mantine,Zubat,57.73,52.63,5.1,39
Spearow,Diglett,56.37,51.27,5.1,39
Plusle,Elekid,58.82,53.74,5.08,45
Vigoroth,Combusken,57.07,52.0,5.08,38
Croconaw,Marshtomp,56.53,51.45,5.08,37
Spearow,Meowth,56.36,51.28,5.07,52
Minun,Sunkern,56.61,51.54,5.07,47
Psyduck,Wingull,49.16,44.11,5.05,36
Croconaw,Porygon,54.84,49.8,5.05,56
Ponyta,Combusken,62.64,57.61,5.04,53
Quilava,Slowpoke,57.37,52.36,5.01,33
Plusle,Marill,60.13,55.12,5.01,38
Natu,Psyduck,54.64,49.64,5.0,36
Quilava,Oddish,56.6,51.62,4.99,47
Voltorb,Onix,52.15,47.19,4.96,31
Porygon2,Oddish,57.86,52.91,4.95,45
Croconaw,Numel,55.45,50.5,4.95,46
Wartortle,Mareep,56.43,51.5,4.93,44
Grovyle,Marshtomp,57.53,52.61,4.92,40
Grovyle,Slowpoke,56.95,52.02,4.92,38
Mantine,Slakoth,57.31,52.39,4.92,55
Golbat,Voltorb,61.66,56.75,4.91,46
Mantine,Porygon,57.53,52.63,4.9,40
Charmeleon,Geodude,60.07,55.16,4.9,40
Croconaw,Combusken,59.4,54.52,4.89,41
Plusle,Trapinch,59.54,54.7,4.83,45
Meganium,Hoothoot,63.89,59.09,4.8,42
Mantine,Sandshrew,60.04,55.26,4.79,41
Meganium,Onix,61.38,56.59,4.79,40
Porygon2,Cacnea,57.26,52.5,4.77,43
Plusle,Loudred,63.53,58.77,4.76,37
Mantine,Pidgey,57.98,53.22,4.76,40
Loudred,Vulpix,54.81,50.06,4.75,38
Mantine,Pikachu,58.73,53.98,4.75,46
Vigoroth,Hoothoot,56.65,51.92,4.74,36
Swampert,Chikorita,57.36,52.62,4.74,40
Golbat,Zubat,58.36,53.62,4.74,46
Vigoroth,Marill,55.89,51.16,4.73,55
Golbat,Mareep,59.04,54.31,4.72,47
Sunflora,Magnemite,57.05,52.33,4.72,40
Loudred,Geodude,55.6,50.89,4.71,43
Porygon2,Torchic,57.04,52.35,4.69,52
Porygon2,Zubat,57.28,52.59,4.69,40
Wartortle,Meowth,56.48,51.8,4.67,51
Croconaw,Bulbasaur,53.41,48.75,4.66,41
Mantine,Cacnea,57.2,52.54,4.66,38
Spearow,Bayleef,57.26,52.59,4.66,35
Loudred,Magby,55.98,51.33,4.65,36
Ivysaur,Totodile,56.56,51.91,4.65,40
Grovyle,Torchic,55.36,50.73,4.63,42
Quilava,Marill,59.8,55.18,4.62,46
Charmeleon,Bulbasaur,57.3,52.69,4.62,32
Charmeleon,Zubat,58.35,53.73,4.61,44
Ivysaur,Vulpix,58.78,54.19,4.59,45
Golbat,Totodile,56.53,51.94,4.59,43
Ponyta,Totodile,55.78,51.21,4.57,44
Slugma,Vigoroth,57.52,52.97,4.56,38
Grovyle,Bayleef,57.84,53.28,4.56,44
Bayleef,Geodude,50.22,45.66,4.56,34
Minun,Cacnea,55.83,51.28,4.55,48
Golbat,Bulbasaur,57.12,52.57,4.55,42
Ivysaur,Pidgey,58.72,54.17,4.54,40
Magnemite,Marill,55.14,50.62,4.52,65
Minun,Pikachu,57.22,52.72,4.5,43
Grovyle,Wingull,55.94,51.44,4.5,39
Natu,Whismur,54.89,50.39,4.49,42
Ponyta,Pidgey,57.97,53.48,4.49,44
Charmeleon,Magby,60.08,55.6,4.48,36
Mantine,Larvitar,57.38,52.9,4.48,45
Porygon2,Sunkern,57.22,52.75,4.47,39
Wartortle,Onix,57.39,52.94,4.45,31
Meganium,Phanpy,61.23,56.81,4.42,45
Ponyta,Vulpix,57.91,53.49,4.42,29
Meganium,Mudkip,57.43,53.04,4.4,38
Charmeleon,Cyndaquil,56.66,52.27,4.39,41
Golbat,Chikorita,57.28,52.89,4.39,37
Porygon2,Onix,59.11,54.73,4.39,44
Ponyta,Psyduck,58.98,54.61,4.38,50
Charmeleon,Diglett,59.1,54.72,4.38,41
Minun,Exeggcute,58.2,53.83,4.37,42
Mantine,Charmander,55.76,51.41,4.36,48
Porygon2,Tentacool,56.55,52.19,4.36,37
Porygon2,Diglett,57.93,53.58,4.36,54
Quilava,Vulpix,56.26,51.9,4.36,29
Cubone,Chansey,53.91,49.56,4.35,48
Slugma,Whismur,54.4,50.08,4.32,42
Ponyta,Charmander,55.96,51.66,4.3,34
Spearow,Torchic,54.34,50.05,4.29,37
Quilava,Numel,56.27,52.0,4.28,38
Plusle,Cacnea,55.4,51.14,4.26,31
Quilava,Sunkern,55.72,51.47,4.25,47
Charmeleon,Hoothoot,62.62,58.38,4.24,32
Minun,Wingull,56.08,51.84,4.24,38
Porygon2,Meowth,57.83,53.59,4.24,51
Minun,Marshtomp,57.25,53.02,4.23,32
Wartortle,Magby,56.9,52.67,4.23,34
Quilava,Sandshrew,58.15,53.92,4.23,40
Ponyta,Porygon,57.1,52.89,4.22,36
Grovyle,Diglett,56.18,51.95,4.22,34
Slugma,Phanpy,54.16,49.97,4.19,39
Croconaw,Natu,59.97,55.8,4.18,43
Grovyle,Pidgey,55.73,51.55,4.18,37
Ivysaur,Bayleef,60.07,55.9,4.17,30
Spearow,Cubone,59.74,55.6,4.14,30
Swampert,Porygon,57.49,53.34,4.14,41
Ponyta,Meowth,58.03,53.89,4.14,49
Ivysaur,Onix,59.85,55.73,4.13,32
Grovyle,Marill,58.97,54.85,4.12,35
Charmeleon,Treecko,57.1,52.99,4.11,44
Meganium,Wingull,59.02,54.92,4.1,35
Porygon2,Pidgey,57.28,53.17,4.1,44
Spearow,Psyduck,56.09,52.0,4.09,35
Grovyle,Hoothoot,59.68,55.61,4.07,35
Croconaw,Slakoth,53.63,49.55,4.07,57
Porygon2,Sandshrew,59.27,55.21,4.06,51
Grovyle,Combusken,59.73,55.69,4.04,48
Grovyle,Meowth,56.0,51.97,4.03,52
Swampert,Chansey,59.7,55.66,4.03,36
Meganium,Cacnea,58.38,54.36,4.02,41
Hoothoot,Smeargle,53.39,49.38,4.01,37
Quilava,Meowth,56.3,52.3,4.0,46
Minun,Psyduck,57.09,53.09,4.0,43
Minun,Magby,57.24,53.24,4.0,45
Grovyle,Mareep,55.66,51.66,4.0,35
Natu,Zubat,51.9,47.92,3.98,40
Natu,Pikachu,53.24,49.27,3.97,44
Hoothoot,Magby,52.37,48.43,3.94,40
Loudred,Cubone,58.72,54.78,3.94,40
Croconaw,Sunkern,53.89,49.97,3.93,41
Spearow,Pikachu,55.56,51.63,3.93,49
Minun,Trapinch,58.74,54.84,3.9,37
Minun,Chikorita,54.53,50.64,3.89,37
Slugma,Sunflora,57.09,53.2,3.88,38
Plusle,Chansey,57.42,53.55,3.87,47
Minun,Charmander,54.0,50.14,3.86,44
Swampert,Meowth,58.2,54.35,3.85,49
Grovyle,Oddish,55.13,51.28,3.84,38
Quilava,Cubone,60.42,56.62,3.81,32
Grovyle,Cubone,60.08,56.28,3.79,41
Cubone,Bayleef,53.31,49.55,3.76,34
Mantine,Meowth,57.39,53.64,3.75,33
Slugma,Trapinch,54.82,51.08,3.74,51
Loudred,Natu,59.19,55.46,3.73,42
Quilava,Magby,56.9,53.16,3.73,44
Spearow,Magby,55.87,52.15,3.72,34
Blaziken,Zubat,58.06,54.35,3.71,47
Golbat,Mudkip,55.91,52.2,3.71,47
Sunflora,Magby,53.08,49.38,3.7,37
Hoothoot,Whismur,52.74,49.03,3.7,43
Loudred,Numel,53.85,50.16,3.69,42
Loudred,Psyduck,54.86,51.18,3.68,39
Charmeleon,Squirtle,56.46,52.77,3.68,47
Combusken,Hoothoot,54.94,51.28,3.66,31
Croconaw,Rattata,52.3,48.65,3.65,49
Grovyle,Chansey,56.93,53.28,3.64,42
Plusle,Magnemite,59.69,56.05,3.64,40
Swampert,Magikarp,52.59,48.96,3.63,37
Croconaw,Vigoroth,58.77,55.15,3.62,42
Mantine,Vulpix,56.86,53.23,3.62,43
Croconaw,Charmander,52.18,48.57,3.61,43
Wartortle,Treecko,53.65,50.05,3.59,34
Grovyle,Eevee,55.43,51.84,3.58,41
Porygon2,Eevee,57.04,53.47,3.57,34
Hoothoot,Marill,54.0,50.45,3.56,48
Wartortle,Porygon,54.36,50.8,3.56,37
Quilava,Cacnea,54.76,51.2,3.55,48
Plusle,Totodile,53.1,49.56,3.54,43
Loudred,Magnemite,57.81,54.27,3.54,40
Plusle,Marshtomp,56.42,52.88,3.54,47
Slugma,Onix,53.26,49.75,3.51,50
Combusken,Pidgey,50.74,47.23,3.51,46
Wartortle,Bulbasaur,53.25,49.75,3.5,40
Cubone,Combusken,55.43,51.96,3.47,36
Croconaw,Meowth,54.26,50.8,3.46,41
Quilava,Rattata,53.61,50.15,3.46,28
Magnemite,Hoothoot,54.83,51.38,3.45,44
Combusken,Magby,51.95,48.51,3.44,46
Plusle,Geodude,56.11,52.66,3.44,39
Charmeleon,Sunkern,57.35,53.91,3.44,42
Golbat,Cacnea,56.97,53.53,3.44,39
Plusle,Whismur,57.14,53.71,3.43,32
Plusle,Sunkern,54.84,51.41,3.43,39
Loudred,Elekid,55.39,51.97,3.42,36
Cubone,Porygon,50.66,47.24,3.42,35
Cubone,Psyduck,52.37,48.96,3.41,48
Quilava,Charmander,53.48,50.07,3.41,51
Golbat,Vulpix,57.63,54.22,3.41,46
Sunflora,Trapinch,54.37,50.98,3.39,35
Croconaw,Phanpy,55.53,52.16,3.38,39
Quilava,Eevee,55.55,52.17,3.38,34
Porygon2,Mudkip,54.55,51.17,3.38,46
Spearow,Tentacool,53.26,49.89,3.37,46
Slugma,Combusken,55.68,52.33,3.35,52
Wartortle,Marshtomp,55.77,52.45,3.32,30
Croconaw,Sandshrew,55.74,52.42,3.32,38
Plusle,Porygon,54.56,51.23,3.32,43
Chansey,Magby,49.41,46.11,3.3,48
Combusken,Exeggcute,52.39,49.1,3.29,46
Loudred,Chansey,55.07,51.78,3.29,40
Natu,Sandshrew,53.83,50.55,3.28,42
Cubone,Magnemite,55.33,52.05,3.27,43
Sunflora,Chansey,53.09,49.84,3.26,35
Croconaw,Hoothoot,57.68,54.44,3.25,52
Grovyle,Porygon,54.21,50.97,3.24,53
Quilava,Totodile,52.84,49.62,3.22,40
Ponyta,Slakoth,55.86,52.64,3.21,31
Natu,Slugma,56.82,53.61,3.21,43
Wartortle,Chansey,56.32,53.12,3.2,40
Loudred,Cacnea,52.56,49.37,3.19,42
Grovyle,Natu,60.15,56.97,3.18,48
Ponyta,Eevee,56.94,53.77,3.18,37
Porygon2,Whismur,58.22,55.06,3.16,35
Ponyta,Marshtomp,57.7,54.53,3.16,34
Meganium,Treecko,56.85,53.7,3.14,42
Ponyta,Cyndaquil,54.54,51.41,3.13,38
Loudred,Cyndaquil,51.12,47.99,3.13,39
Magnemite,Raticate,53.67,50.54,3.13,44
Plusle,Pikachu,55.7,52.58,3.12,41
Ponyta,Voltorb,59.14,56.02,3.12,36
Minun,Geodude,55.91,52.8,3.11,37
Spearow,Treecko,52.63,49.53,3.1,44
Cubone,Diglett,51.32,48.23,3.09,34
Minun,Eevee,55.33,52.25,3.08,39
Quilava,Psyduck,56.1,53.02,3.08,47
Grovyle,Charmander,52.81,49.74,3.07,36
Elekid,Exeggcute,49.94,46.89,3.06,32
Ponyta,Squirtle,54.97,51.92,3.05,43
Cubone,Marill,54.13,51.12,3.01,39
Spearow,Hoothoot,57.9,54.92,2.98,37
Sunflora,Elekid,52.99,50.02,2.97,37
Spearow,Sandshrew,55.87,52.91,2.97,37
Slugma,Cubone,55.89,52.93,2.96,43
Magnemite,Slowpoke,50.76,47.8,2.96,40
Combusken,Oddish,49.9,46.96,2.94,49
Elekid,Tentacool,46.96,44.03,2.93,33
Magnemite,Marshtomp,51.32,48.38,2.93,38
Loudred,Eevee,53.25,50.34,2.91,46
Spearow,Marshtomp,54.83,51.93,2.9,47
Wartortle,Rattata,52.55,49.66,2.9,33
Slugma,Magnemite,55.32,52.42,2.89,52
Blaziken,Mareep,57.92,55.05,2.88,41
Vigoroth,Marshtomp,51.79,48.92,2.87,44
Minun,Chansey,56.56,53.69,2.87,49
Magnemite,Torchic,49.37,46.5,2.87,26
Mantine,Spearow,63.84,60.99,2.85,42
Grovyle,Treecko,53.07,50.22,2.85,34
Blaziken,Rattata,56.06,53.2,2.85,38
Croconaw,Eevee,53.51,50.67,2.84,51
Hoothoot,Phanpy,51.74,48.92,2.83,40
Cubone,Pidgey,50.66,47.83,2.83,40
Mantine,Treecko,54.71,51.89,2.82,45
Porygon2,Treecko,54.65,51.84,2.81,48
Loudred,Mareep,52.95,50.16,2.79,28
Combusken,Onix,51.57,48.78,2.79,49
Ivysaur,Magikarp,51.99,49.2,2.79,37
Ponyta,Diglett,56.64,53.88,2.77,42
Hoothoot,Numel,50.02,47.26,2.76,47
Blaziken,Pidgey,57.69,54.94,2.75,48
Loudred,Sunkern,52.38,49.63,2.75,39
Blaziken,Oddish,57.41,54.67,2.74,39
Mantine,Rattata,54.21,51.48,2.73,37
Geodude,Larvitar,46.35,43.62,2.73,29
Mantine,Mudkip,53.94,51.22,2.73,33
Phanpy,Diglett,48.0,45.27,2.73,42
Golbat,Oddish,56.66,53.94,2.72,38
Meganium,Larvitar,57.44,54.72,2.72,42
Meganium,Magikarp,52.77,50.06,2.71,40
Porygon2,Totodile,53.62,50.91,2.71,49
Swampert,Sunkern,56.21,53.52,2.7,39
Blaziken,Larvitar,57.32,54.62,2.7,37
Spearow,Geodude,54.38,51.71,2.67,34
Vigoroth,Sandshrew,52.56,49.9,2.66,38
Grovyle,Cacnea,53.52,50.88,2.65,44
Minun,Numel,54.72,52.07,2.65,58
Croconaw,Chikorita,51.71,49.07,2.64,37
Croconaw,Geodude,53.87,51.23,2.64,43
Voltorb,Diglett,48.67,46.04,2.63,48
Minun,Bayleef,56.31,53.69,2.63,51
Quilava,Diglett,54.92,52.28,2.63,39
Magnemite,Voltorb,52.46,49.86,2.6,38
Spearow,Cacnea,52.78,50.19,2.59,53
Golbat,Squirtle,55.23,52.66,2.57,35
Ponyta,Pikachu,56.79,54.23,2.55,38
Meganium,Bulbasaur,55.94,53.4,2.54,35
Natu,Numel,51.16,48.62,2.54,38
Grovyle,Numel,54.1,51.66,2.43,36
Spearow,Porygon,52.71,50.28,2.43,43
Plusle,Voltorb,56.77,54.36,2.41,36
Vigoroth,Voltorb,52.79,50.41,2.39,53
Loudred,Slowpoke,52.89,50.52,2.37,40
Wartortle,Marill,57.05,54.69,2.37,42
Wartortle,Cacnea,53.04,50.71,2.33,44
Plusle,Slowpoke,54.6,52.3,2.31,46
Vigoroth,Magnemite,54.4,52.09,2.31,43
Spearow,Slowpoke,53.65,51.34,2.31,40
Ponyta,Magby,57.07,54.75,2.31,33
Grovyle,Zubat,53.26,50.97,2.29,44
Vigoroth,Wingull,50.04,47.75,2.29,44
Swampert,Voltorb,58.76,56.47,2.28,40
Croconaw,Mareep,52.76,50.49,2.27,44
Swampert,Oddish,55.94,53.66,2.27,38
Combusken,Trapinch,52.38,50.11,2.27,36
Spearow,Larvitar,52.8,50.55,2.26,40
Ponyta,Mudkip,53.72,51.47,2.25,39
Plusle,Mudkip,52.07,49.82,2.25,52
Loudred,Raticate,55.5,53.27,2.24,48
Natu,Marill,54.04,51.8,2.24,39
Sunflora,Cacnea,49.66,47.42,2.24,25
Golbat,Pidgey,56.44,54.21,2.23,39
Wartortle,Voltorb,56.16,53.93,2.23,46
Loudred,Oddish,52.01,49.78,2.23,50
Plusle,Charmander,52.23,50.01,2.22,36
Elekid,Pidgey,47.23,45.02,2.22,31
Grovyle,Mudkip,51.76,49.55,2.21,35
Minun,Vulpix,54.17,51.98,2.19,39
Magnemite,Numel,49.63,47.44,2.19,42
Plusle,Torchic,53.19,51.0,2.19,43
Plusle,Magby,55.3,53.1,2.19,32
Ivysaur,Hoothoot,60.4,58.23,2.18,43
Vigoroth,Psyduck,51.17,49.0,2.17,41
Mantine,Wingull,55.26,53.1,2.16,44
Golbat,Charmander,54.55,52.39,2.15,37
Sunflora,Slowpoke,50.72,48.58,2.15,35
Natu,Bayleef,52.38,50.23,2.15,39
Grovyle,Slakoth,52.87,50.72,2.14,41
Quilava,Zubat,53.42,51.3,2.13,34
Charmeleon,Wingull,56.33,54.2,2.13,46
Cubone,Smeargle,52.18,50.05,2.13,36
Natu,Vigoroth,55.39,53.28,2.12,49
Spearow,Magnemite,57.21,55.09,2.11,34
Grovyle,Vulpix,53.67,51.57,2.1,34
Croconaw,Torchic,51.63,49.56,2.07,44
Spearow,Slakoth,52.1,50.04,2.06,51
Natu,Trapinch,53.45,51.39,2.06,36
Raticate,Pikachu,49.14,47.08,2.06,39
Blaziken,Torchic,56.16,54.12,2.05,50
Mantine,Cyndaquil,53.21,51.16,2.05,46
Grovyle,Trapinch,56.47,54.44,2.03,39
Marill,Trapinch,51.3,49.27,2.03,46
Vigoroth,Pidgey,49.88,47.87,2.02,43
Swampert,Pidgey,55.96,53.94,2.02,29
Swampert,Squirtle,54.39,52.38,2.01,33
Sunflora,Raticate,53.3,51.32,1.98,45
Spearow,Sunkern,52.41,50.45,1.96,39
Wingull,Tentacool,43.95,42.0,1.95,36
Wartortle,Tentacool,52.36,50.41,1.95,32
Loudred,Pidgey,51.98,50.05,1.93,38
Plusle,Zubat,53.14,51.23,1.91,32
Grovyle,Magikarp,48.49,46.58,1.91,39
Wartortle,Sunkern,52.88,50.97,1.91,42
Sunflora,Marill,53.3,51.4,1.9,54
Hoothoot,Marshtomp,50.1,48.21,1.89,44
Spearow,Marill,56.04,54.16,1.87,39
Meganium,Totodile,54.63,52.78,1.86,39
Combusken,Psyduck,50.22,48.36,1.86,47
Vigoroth,Mareep,49.82,47.97,1.85,47
Raticate,Elekid,50.07,48.23,1.84,49
Spearow,Eevee,53.0,51.16,1.84,44
Mantine,Torchic,54.24,52.4,1.84,37
Quilava,Slakoth,52.89,51.05,1.83,41
Magnemite,Onix,50.7,48.88,1.83,43
Trapinch,Voltorb,50.33,48.52,1.81,51
Minun,Mareep,53.85,52.06,1.79,53
Cubone,Marshtomp,50.66,48.89,1.77,32
Hoothoot,Trapinch,51.77,50.03,1.74,35
Golbat,Tentacool,54.96,53.22,1.74,43
Wartortle,Numel,53.23,51.5,1.73,40
Mantine,Bayleef,56.67,54.95,1.72,34
Hoothoot,Rattata,47.14,45.42,1.72,51
Natu,Bulbasaur,48.59,46.87,1.72,37
Quilava,Squirtle,52.05,50.34,1.72,41
Wartortle,Pidgey,53.1,51.39,1.71,42
Spearow,Bulbasaur,50.93,49.23,1.7,43
Croconaw,Bayleef,53.81,52.11,1.7,37
Vigoroth,Bayleef,51.28,49.59,1.69,46
Swampert,Eevee,55.91,54.22,1.69,42
Wartortle,Smeargle,55.29,53.61,1.67,41
Swampert,Magby,56.82,55.21,1.61,42
Plusle,Numel,53.54,51.94,1.6,37
Chansey,Slowpoke,46.89,45.3,1.59,40
Croconaw,Cacnea,51.26,49.7,1.55,43
Natu,Elekid,51.96,50.42,1.54,38
Exeggcute,Magby,47.78,46.25,1.53,40
Vigoroth,Raticate,52.61,51.08,1.53,36
Ponyta,Rattata,53.26,51.74,1.52,55
Vigoroth,Exeggcute,51.22,49.73,1.49,31
Grovyle,Bulbasaur,51.4,49.91,1.49,45
Sunflora,Exeggcute,51.45,49.98,1.47,51
Vigoroth,Cacnea,48.62,47.19,1.44,38
Sunflora,Sandshrew,51.57,50.14,1.43,45
Grovyle,Rattata,51.25,49.82,1.43,41
Swampert,Treecko,54.03,52.6,1.43,37
Spearow,Vulpix,52.31,50.89,1.42,39
Combusken,Mareep,48.74,47.34,1.41,47
Slugma,Chansey,51.33,49.93,1.4,51
Vigoroth,Trapinch,52.14,50.75,1.39,43
Hoothoot,Porygon,47.94,46.56,1.38,49
Magnemite,Trapinch,51.56,50.2,1.36,50
Charmeleon,Magikarp,50.71,49.35,1.36,37
Vigoroth,Chansey,50.94,49.59,1.35,41
Cubone,Exeggcute,51.05,49.7,1.35,42
Slugma,Bayleef,51.27,49.92,1.35,49
Porygon2,Vulpix,54.53,53.19,1.34,45
Wartortle,Eevee,53.02,51.68,1.34,33
Loudred,Exeggcute,53.26,51.92,1.34,44
Combusken,Smeargle,50.79,49.45,1.33,50
Minun,Slowpoke,53.72,52.43,1.29,47
Loudred,Hoothoot,55.38,54.1,1.28,46
Croconaw,Pidgey,51.67,50.39,1.28,35
Magnemite,Charmander,46.77,45.51,1.26,35
Cubone,Magby,50.37,49.11,1.26,39
Slugma,Mudkip,47.44,46.2,1.24,38
Combusken,Raticate,51.65,50.45,1.21,32
Slugma,Eevee,49.7,48.49,1.21,38
Minun,Rattata,51.43,50.23,1.21,37
Trapinch,Onix,48.73,47.53,1.2,41
Porygon2,Squirtle,52.81,51.62,1.19,54
Trapinch,Chansey,48.9,47.71,1.19,31
Blaziken,Mudkip,54.1,52.94,1.17,41
Croconaw,Wingull,51.4,50.27,1.14,53
Sandshrew,Magby,47.55,46.41,1.13,34
Voltorb,Whismur,48.65,47.52,1.12,39
Combusken,Vulpix,48.36,47.25,1.12,42
Onix,Pikachu,46.5,45.41,1.09,42
Trapinch,Bulbasaur,45.42,44.34,1.08,37
Natu,Diglett,49.99,48.91,1.08,56
Sunflora,Whismur,51.06,49.99,1.07,35
Grovyle,Onix,54.18,53.11,1.07,34
Cubone,Hoothoot,52.94,51.88,1.06,37
Golbat,Wingull,55.15,54.09,1.06,29
Cubone,Numel,48.99,47.94,1.05,40
Slugma,Oddish,48.97,47.93,1.04,38
Plusle,Treecko,51.52,50.49,1.03,54
Slugma,Sandshrew,51.25,50.23,1.01,51
Sunflora,Hoothoot,53.14,52.16,0.99,38
Wartortle,Pikachu,53.13,52.15,0.98,45
Croconaw,Totodile,49.1,48.12,0.98,45
Quilava,Torchic,52.02,51.06,0.96,35
Vigoroth,Phanpy,50.57,49.64,0.94,34
Natu,Slowpoke,49.92,48.98,0.94,39
Vigoroth,Torchic,47.97,47.04,0.93,53
Spearow,Oddish,51.53,50.6,0.93,46
Grovyle,Larvitar,52.15,51.23,0.92,49
Marill,Oddish,47.04,46.12,0.91,36
Natu,Porygon,48.82,47.92,0.9,39
Vigoroth,Elekid,50.68,49.78,0.9,44
Raticate,Meowth,47.63,46.73,0.9,37
Spearow,Chikorita,50.44,49.55,0.89,38
Croconaw,Onix,52.82,51.94,0.88,41
Slugma,Smeargle,51.29,50.42,0.87,45
Ponyta,Oddish,54.06,53.2,0.86,47
Wartortle,Totodile,49.98,49.12,0.85,39
Mantine,Oddish,53.8,52.95,0.85,34
Hoothoot,Voltorb,50.52,49.69,0.83,53
Golbat,Magikarp,50.06,49.23,0.83,31
Sunflora,Sunkern,48.5,47.69,0.81,51
Cubone,Elekid,50.54,49.75,0.8,37
Slugma,Pikachu,49.75,48.96,0.79,33
Hoothoot,Elekid,49.84,49.06,0.78,41
Voltorb,Smeargle,48.62,47.86,0.75,43
Vigoroth,Smeargle,50.84,50.09,0.75,56
